Datetime,open,High,Low,Close,Volume,gold_spot_usd,usd_thb_rate
2026-02-23 01:50:00,75679,75812,75652,75728,2611,5165.33,31.002
2026-02-23 01:55:00,75728,75817,75699,75705,2366,5165.39,30.992
2026-02-23 02:00:00,75705,75763,75347,75476,4404,5148.31,31.001
2026-02-23 02:05:00,75479,75524,75332,75489,3403,5149.88,30.997
2026-02-23 02:10:00,75499,75518,75210,75330,3507,5138.34,31.001
2026-02-23 02:15:00,75323,75415,75222,75287,2759,5131.44,31.025
2026-02-23 02:20:00,75294,75491,75265,75489,3052,5145.73,31.022
2026-02-23 02:25:00,75489,75604,75364,75583,3212,5153.3,31.015
2026-02-23 02:30:00,75582,75706,75461,75489,2612,5149.82,30.997
2026-02-23 02:35:00,75486,75541,75393,75437,2462,5144.65,31.007
2026-02-23 02:40:00,75435,75517,75338,75371,2606,5140.84,31.003
2026-02-23 02:45:00,75374,75409,75290,75373,2552,5138.13,31.02
2026-02-23 02:50:00,75371,75462,75357,75440,1994,5143.66,31.014
2026-02-23 02:55:00,75442,75488,75399,75425,1988,5144.65,31.002
2026-02-23 03:00:00,75420,75497,75346,75485,3100,5149.05,31.0
2026-02-23 03:05:00,75477,75625,75431,75569,2959,5155.31,30.997
2026-02-23 03:10:00,75567,75574,75439,75470,2240,5147.59,31.003
2026-02-23 03:15:00,75475,75599,75451,75596,1826,5153.15,31.021
2026-02-23 03:20:00,75598,75718,75591,75677,2588,5156.37,31.035
2026-02-23 03:25:00,75675,75692,75582,75675,2043,5159.23,31.017
2026-02-23 03:30:00,75678,75734,75617,75674,2036,5157.18,31.029
2026-02-23 03:35:00,75679,75739,75626,75687,1778,5158.37,31.027
2026-02-23 03:40:00,75684,75791,75642,75788,2314,5166.11,31.022
2026-02-23 03:45:00,75791,75810,75690,75770,2308,5164.17,31.026
2026-02-23 03:50:00,75772,75825,75660,75685,2169,5156.92,31.035
2026-02-23 03:55:00,75683,75748,75666,75726,1950,5157.56,31.048
2026-02-23 04:00:00,75711,75812,75683,75769,2154,5163.45,31.03
2026-02-23 04:05:00,75771,75837,75724,75802,1743,5165.54,31.031
2026-02-23 04:10:00,75802,75814,75660,75730,2054,5160.6,31.031
2026-02-23 04:15:00,75727,75894,75712,75728,2226,5159.47,31.037
2026-02-23 04:20:00,75722,75809,75655,75720,1698,5159.64,31.033
2026-02-23 04:25:00,75720,75815,75657,75690,1446,5161.24,31.011
2026-02-23 04:30:00,75700,75825,75662,75740,1304,5164.29,31.013
2026-02-23 04:35:00,75683,75904,75674,75822,2165,5168.88,31.019
2026-02-23 04:40:00,75807,75954,75791,75845,2442,5174.5,30.995
2026-02-23 04:45:00,75845,75878,75819,75831,1825,5170.82,31.011
2026-02-23 04:50:00,75833,75893,75701,75873,2142,5173.41,31.013
2026-02-23 04:55:00,75876,75897,75791,75872,1932,5173.82,31.01
2026-02-23 05:00:00,75875,75921,75823,75835,1767,5172.29,31.004
2026-02-23 05:05:00,75825,75869,75680,75720,2253,5164.94,31.001
2026-02-23 05:10:00,75720,75736,75527,75633,2640,5158.17,31.006
2026-02-23 05:15:00,75638,75648,75527,75614,1959,5155.55,31.014
2026-02-23 05:20:00,75616,75695,75605,75688,1774,5161.94,31.006
2026-02-23 05:25:00,75686,75740,75675,75734,1890,5164.24,31.011
2026-02-23 05:30:00,75732,75811,75705,75762,1803,5166.61,31.008
2026-02-23 05:35:00,75759,75833,75739,75792,1299,5168.66,31.008
2026-02-23 05:40:00,75789,75815,75722,75800,1284,5168.75,31.011
2026-02-23 05:45:00,75798,75825,75748,75811,1188,5170.18,31.007
2026-02-23 05:50:00,75808,75825,75742,75765,1338,5170.21,30.988
2026-02-23 05:55:00,75773,75782,75671,75720,1228,5166.79,30.99
2026-02-23 06:00:00,75723,75775,75666,75699,1670,5162.99,31.004
2026-02-23 06:05:00,75701,75734,75568,75588,1692,5155.94,31.001
2026-02-23 06:10:00,75587,75690,75587,75656,1807,5162.39,30.99
2026-02-23 06:15:00,75656,75673,75583,75634,1015,5164.27,30.97
2026-02-23 06:20:00,75637,75681,75597,75648,954,5162.37,30.987
2026-02-23 06:25:00,75648,75651,75561,75625,1257,5160.29,30.99
2026-02-23 06:30:00,75622,75673,75575,75607,1272,5159.04,30.99
2026-02-23 06:35:00,75621,75638,75556,75632,1336,5159.25,30.999
2026-02-23 06:40:00,75585,75663,75578,75620,997,5159.48,30.993
2026-02-23 06:45:00,75618,75652,75549,75633,1097,5160.86,30.99
2026-02-23 06:50:00,75633,75636,75544,75599,979,5159.38,30.985
2026-02-23 06:55:00,75602,75672,75582,75643,918,5160.83,30.994
2026-02-23 07:00:00,75631,75660,75544,75560,1536,5155.05,30.995
